iter	RMSE
0	5111.137117
1	5037.834582
2	4956.495509
3	4880.514203
4	4813.793798
5	4752.193006
6	4697.743022
7	4641.485999
8	4591.582731
9	4545.245852
10	4508.063064
11	4464.889753
12	4429.962254
13	4397.476114
14	4366.97016
15	4345.179305
16	4314.72909
17	4288.879378
18	4263.429013
19	4242.141069
20	4222.527791
21	4197.668074
22	4176.386028
23	4158.882714
24	4143.39109
25	4128.13118
26	4112.903035
27	4094.392525
28	4076.21003
29	4061.669503
30	4046.487639
31	4035.239585
32	4023.23424
33	4005.9668
34	3993.302172
35	3981.525292
36	3971.965461
37	3959.904634
38	3949.55629
39	3939.939701
40	3927.578964
41	3916.463798
42	3908.766643
43	3901.587023
44	3893.933829
45	3883.076319
46	3868.098515
47	3853.892635
48	3842.840037
49	3833.296183
50	3825.437878
51	3818.50955
52	3810.931201
53	3801.201693
54	3793.543849
55	3783.767218
56	3773.753846
57	3769.190811
58	3763.00726
59	3756.054328
60	3751.909019
61	3744.975517
62	3735.702531
63	3731.946813
64	3727.155418
65	3720.517326
66	3717.147743
67	3711.652325
68	3707.504182
69	3700.09874
70	3691.064344
71	3683.297044
72	3677.24068
73	3672.006002
74	3662.932424
75	3654.357411
76	3649.588405
77	3641.237649
78	3636.875044
79	3632.274858
80	3622.69357
81	3615.652263
82	3611.089002
83	3604.72464
84	3601.366523
85	3592.784959
86	3584.509456
87	3579.923602
88	3574.764373
89	3569.489271
90	3562.773038
91	3559.245141
92	3555.664228
93	3550.891293
94	3546.70803
95	3543.418068
96	3537.691851
97	3531.685523
98	3527.09887
99	3523.620906
100	3518.084742
101	3514.233799
102	3509.376155
103	3505.326501
104	3500.915564
105	3497.160048
106	3491.593676
107	3487.185026
108	3484.06519
109	3480.80001
110	3477.025828
111	3473.307628
112	3468.611739
113	3465.32938
114	3456.452096
115	3452.901704
116	3449.529132
117	3444.437273
118	3440.730836
119	3437.26222
120	3435.40746
121	3432.997191
122	3430.307041
123	3427.547333
124	3421.237175
125	3416.389901
126	3409.338595
127	3407.188595
128	3403.887117
129	3400.958916
130	3398.053544
131	3396.013906
132	3390.864685
133	3385.256035
134	3381.553018
135	3379.796654
136	3373.980939
137	3371.342226
138	3368.139999
139	3365.237908
140	3362.018058
141	3358.853443
142	3355.76992
143	3350.549378
144	3348.049386
145	3344.861166
146	3340.426861
147	3337.274182
148	3334.22575
149	3331.855598
150	3328.0239
151	3325.468888
152	3323.440672
153	3320.557093
154	3316.297418
155	3313.658575
156	3311.427967
157	3308.999694
158	3305.427562
159	3302.031917
160	3299.377208
161	3295.438175
162	3293.170361
163	3289.152124
164	3286.720801
165	3284.761065
166	3282.88414
167	3278.833139
168	3276.25879
169	3272.127275
170	3269.438545
171	3267.751358
172	3263.734168
173	3260.640146
174	3255.808756
175	3252.143936
176	3250.213432
177	3247.461191
178	3243.952481
179	3239.622773
180	3236.869944
181	3233.088092
182	3229.74095
183	3227.633965
184	3224.50677
185	3221.923003
186	3218.974552
187	3216.154675
188	3213.484183
189	3209.292976
190	3206.63183
191	3203.179322
192	3199.250263
193	3196.168039
194	3193.140031
195	3190.537637
196	3187.685706
197	3184.998777
198	3181.131526
199	3178.455365
200	3175.832532
