iter	Passed	Remaining
0	16	16131
1	33	16562
2	50	16646
3	68	17146
4	86	17222
5	113	18725
6	134	19145
7	158	19693
8	179	19806
9	196	19451
10	217	19596
11	229	18895
12	242	18447
13	260	18326
14	275	18082
15	298	18332
16	313	18145
17	320	17500
18	331	17114
19	342	16772
20	350	16336
21	360	16034
22	367	15604
23	376	15306
24	383	14951
25	392	14718
26	400	14420
27	410	14267
28	423	14177
29	429	13902
30	439	13739
31	446	13491
32	455	13354
33	462	13146
34	471	12993
35	477	12794
36	485	12626
37	492	12473
38	499	12298
39	506	12161
40	513	12019
41	521	11900
42	534	11892
43	543	11808
44	554	11774
45	563	11688
46	574	11644
47	588	11670
48	594	11541
49	603	11473
50	616	11470
51	623	11361
52	630	11259
53	639	11198
54	648	11141
55	655	11042
56	663	10981
57	670	10884
58	680	10849
59	688	10783
60	700	10781
61	711	10762
62	720	10719
63	731	10703
64	738	10621
65	747	10584
66	754	10508
67	763	10466
68	769	10387
69	779	10360
70	786	10291
71	796	10262
72	802	10191
73	810	10143
74	818	10091
75	828	10072
76	835	10012
77	843	9969
78	851	9921
79	859	9889
80	866	9829
81	874	9784
82	880	9727
83	889	9700
84	898	9677
85	909	9665
86	915	9607
87	924	9585
88	931	9536
89	940	9508
90	947	9465
91	956	9440
92	962	9389
93	970	9356
94	977	9313
95	985	9284
96	992	9238
97	1005	9253
98	1013	9227
99	1022	9206
100	1029	9164
101	1037	9131
102	1043	9089
103	1050	9054
104	1058	9022
105	1065	8985
106	1073	8955
107	1080	8922
108	1089	8908
109	1102	8919
110	1108	8879
111	1118	8864
112	1124	8829
113	1133	8811
114	1140	8775
115	1151	8773
116	1158	8746
117	1167	8729
118	1177	8717
119	1191	8737
120	1205	8755
121	1217	8759
122	1224	8728
123	1233	8717
124	1241	8693
125	1250	8675
126	1258	8650
127	1266	8630
128	1283	8667
129	1300	8704
130	1337	8874
131	1353	8903
132	1387	9044
133	1403	9071
134	1415	9070
135	1424	9046
136	1453	9158
137	1461	9130
138	1468	9093
139	1476	9072
140	1483	9037
141	1491	9009
142	1497	8975
143	1506	8954
144	1517	8945
145	1527	8936
146	1534	8904
147	1545	8894
148	1551	8860
149	1560	8842
150	1567	8812
151	1575	8790
152	1582	8759
153	1590	8736
154	1597	8707
155	1605	8684
156	1613	8666
157	1622	8648
158	1633	8642
159	1642	8622
160	1648	8589
161	1657	8573
162	1664	8545
163	1673	8528
164	1679	8498
165	1688	8483
166	1694	8453
167	1704	8442
168	1713	8425
169	1723	8414
170	1729	8385
171	1738	8370
172	1750	8367
173	1757	8340
174	1764	8319
175	1772	8297
176	1778	8269
177	1786	8251
178	1794	8229
179	1802	8212
180	1810	8190
181	1822	8191
182	1831	8178
183	1850	8205
184	1866	8223
185	1875	8206
186	1888	8209
187	1899	8202
188	1911	8201
189	1923	8200
190	1935	8196
